@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
58,'2022/08/22 14:02:40:235',1,-82.216164,64.418053,41.659546,7.923415,-13.438152,21.199442,-5.269918,-7.5906,9.33309,-12.580043,-10.062774,-21.984962,-25.542934,-3.75248,0.494115,9.771711,-1.460479,0.234741,4.123355,2.992414,3.826737,-4.773844,-5.245969,5.881526,0.658069,1.63142,1
59,'2022/08/22 14:02:40:236',1,-82.216164,64.418053,41.659546,7.923415,-13.438152,21.199442,-5.269918,-7.5906,9.33309,-12.580043,-10.062774,-21.984962,-25.542934,-3.75248,0.494115,9.771711,-1.460479,0.234741,4.123355,2.992414,3.826737,-4.773844,-5.245969,5.881526,0.658069,1.63142,1
60,'2022/08/22 14:02:40:247',1,-72.012939,59.214207,39.824341,9.115252,-23.478256,23.398367,-6.753277,-9.131013,13.111622,-9.750937,-8.09841,-25.990108,-24.776821,4.193792,2.601861,10.93672,-5.586094,-1.827106,5.542077,-4.50185,2.830607,-6.235054,-6.16183,4.611965,-1.878226,2.776012,1
61,'2022/08/22 14:02:40:249',1,-72.012939,59.214207,39.824341,9.115252,-23.478256,23.398367,-6.753277,-9.131013,13.111622,-9.750937,-8.09841,-25.990108,-24.776821,4.193792,2.601861,10.93672,-5.586094,-1.827106,5.542077,-4.50185,2.830607,-6.235054,-6.16183,4.611965,-1.878226,2.776012,1
62,'2022/08/22 14:02:40:259',1,-72.019974,60.173382,36.33353,12.108534,-12.67044,15.330561,-4.064991,-7.639243,11.647305,-14.894537,-13.923656,-17.849096,-24.343845,4.509317,2.127467,7.427197,-4.098649,-2.36062,6.023486,-4.186893,0.441272,-5.677082,-3.144419,9.403141,-2.388086,0.919165,1
63,'2022/08/22 14:02:40:260',1,-72.019974,60.173382,36.33353,12.108534,-12.67044,15.330561,-4.064991,-7.639243,11.647305,-14.894537,-13.923656,-17.849096,-24.343845,4.509317,2.127467,7.427197,-4.098649,-2.36062,6.023486,-4.186893,0.441272,-5.677082,-3.144419,9.403141,-2.388086,0.919165,1
64,'2022/08/22 14:02:40:260',1,-72.019974,60.173382,36.33353,12.108534,-12.67044,15.330561,-4.064991,-7.639243,11.647305,-14.894537,-13.923656,-17.849096,-24.343845,4.509317,2.127467,7.427197,-4.098649,-2.36062,6.023486,-4.186893,0.441272,-5.677082,-3.144419,9.403141,-2.388086,0.919165,1
65,'2022/08/22 14:02:40:270',1,-67.385796,60.685841,40.920189,14.066512,-21.308514,16.837238,-6.928298,-13.873337,7.292569,-10.5558,-11.21414,-17.885744,-29.088068,-2.770642,6.720722,6.217907,-3.229506,2.376033,-0.970491,-0.273247,3.209869,-6.645613,2.306123,6.48724,3.653052,4.533963,1
66,'2022/08/22 14:02:40:271',1,-67.385796,60.685841,40.920189,14.066512,-21.308514,16.837238,-6.928298,-13.873337,7.292569,-10.5558,-11.21414,-17.885744,-29.088068,-2.770642,6.720722,6.217907,-3.229506,2.376033,-0.970491,-0.273247,3.209869,-6.645613,2.306123,6.48724,3.653052,4.533963,1
67,'2022/08/22 14:02:40:283',1,-77.605965,57.439728,44.38575,10.381106,-14.022306,14.037491,-6.766672,-9.522801,8.842992,-11.599087,-17.172045,-17.319115,-20.258381,-2.167574,1.079545,1.099042,-0.305643,7.305113,1.812811,2.249114,0.766476,-2.585929,-1.569354,4.245603,-2.384809,3.678227,1
